"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+3"
"4",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","0"
"5",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","0"
"6",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+3"
"7",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-4"
"8",2,"Amon-Ra St. Brown",DET,"WR5","8","3 out of 5 stars","0"
"9",2,"Puka Nacua",LAR,"WR6","8","3 out of 5 stars","+1"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","+4"
"11",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-4"
"12",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+3"
"13",2,"Drake London",ATL,"WR9","5","3 out of 5 stars","+6"
"14",3,"Ashton Jeanty",LV,"RB5","8","2 out of 5 stars","-2"
"15",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+3"
"16",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+1"
"17",3,"De'Von Achane",MIA,"RB6","12","4 out of 5 stars","-4"
"18",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+8"
"19",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+8"
"20",3,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-9"
"21",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+11"
"22",4,"Tee Higgins",CIN,"WR13","10","3 out of 5 stars","+6"
"23",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-2"
"24",4,"Garrett Wilson",NYJ,"WR14","9","4 out of 5 stars","+14"
"25",4,"Chase Brown",CIN,"RB8","10","4 out of 5 stars","0"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-4"
"27",4,"Josh Jacobs",GB,"RB9","5","4 out of 5 stars","-11"
"28",4,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","+3"
"29",4,"Bucky Irving",TB,"RB10","9","3 out of 5 stars","-6"
"30",4,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-10"
"31",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+9"
"32",4,"George Kittle",SF,"TE3","14","3 out of 5 stars","+7"
"33",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-3"
"34",4,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+7"
"35",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-11"
"36",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-1"
"37",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+6"
"38",5,"DJ Moore",CHI,"WR19","5","2 out of 5 stars","+8"
"39",5,"Terry McLaurin",WAS,"WR20","12","3 out of 5 stars","+5"
"40",5,"Alvin Kamara",NO,"RB13","11","4 out of 5 stars","-4"
"41",5,"Kenneth Walker III",SEA,"RB14","8","3 out of 5 stars","+1"
"42",5,"James Cook",BUF,"RB15","7","4 out of 5 stars","-13"
"43",5,"Breece Hall",NYJ,"RB16","9","5 out of 5 stars","-9"
"44",5,"Courtland Sutton",DEN,"WR21","12","3 out of 5 stars","+7"
"45",5,"DK Metcalf",PIT,"WR22","5","4 out of 5 stars","+4"
"46",5,"Omarion Hampton",LAC,"RB17","12","2 out of 5 stars","-9"
"47",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-14"
"48",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+6"
"49",6,"James Conner",ARI,"RB18","8","3 out of 5 stars","-2"
"50",6,"Tetairoa McMillan",CAR,"WR24","14","4 out of 5 stars","+10"
"51",6,"Chuba Hubbard",CAR,"RB19","14","3 out of 5 stars","-6"
"52",6,"Zay Flowers",BAL,"WR25","7","3 out of 5 stars","+7"
"53",6,"Jaylen Waddle",MIA,"WR26","12","3 out of 5 stars","+19"
"54",6,"Xavier Worthy",KC,"WR27","10","3 out of 5 stars","-1"
"55",6,"TreVeyon Henderson",NE,"RB20","14","4 out of 5 stars","-7"
"56",6,"Calvin Ridley",TEN,"WR28","10","4 out of 5 stars","+10"
"57",6,"George Pickens",DAL,"WR29","10","2 out of 5 stars","+11"
"58",6,"Jameson Williams",DET,"WR30","8","3 out of 5 stars","0"
"59",6,"Tony Pollard",TEN,"RB21","10","2 out of 5 stars","+11"
"60",6,"D'Andre Swift",CHI,"RB22","5","3 out of 5 stars","-4"
"61",6,"T.J. Hockenson",MIN,"TE4","6","3 out of 5 stars","0"
"62",6,"Chris Olave",NO,"WR31","11","4 out of 5 stars","+15"
"63",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-13"
"64",6,"David Montgomery",DET,"RB23","8","2 out of 5 stars","-7"
"65",6,"RJ Harvey",DEN,"RB24","12","2 out of 5 stars","-3"
"66",6,"Rashee Rice",KC,"WR32","10","3 out of 5 stars","-11"
"67",6,"Aaron Jones Sr.",MIN,"RB25","6","3 out of 5 stars","0"
"68",6,"Travis Hunter",JAC,"WR33","8","4 out of 5 stars","+1"
"69",6,"Isiah Pacheco",KC,"RB26","10","2 out of 5 stars","-4"
"70",7,"Jerry Jeudy",CLE,"WR34","9","2 out of 5 stars","+3"
"71",7,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-8"
"72",7,"Sam LaPorta",DET,"TE5","8","3 out of 5 stars","-20"
"73",7,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","-2"
"74",7,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-10"
"75",7,"Rome Odunze",CHI,"WR35","5","2 out of 5 stars","+3"
"76",7,"Stefon Diggs",NE,"WR36","14","3 out of 5 stars","+6"
"77",7,"Jakobi Meyers",LV,"WR37","8","4 out of 5 stars","+8"
"78",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+5"
"79",7,"Tyrone Tracy Jr.",NYG,"RB27","14","3 out of 5 stars","0"
"80",7,"David Njoku",CLE,"TE7","9","3 out of 5 stars","+4"
"81",7,"Jaylen Warren",PIT,"RB28","5","4 out of 5 stars","+6"
"82",7,"Ricky Pearsall",SF,"WR38","14","4 out of 5 stars","+10"
"83",7,"Evan Engram",DEN,"TE8","12","3 out of 5 stars","-2"
"84",7,"Dak Prescott",DAL,"QB10","10","2 out of 5 stars","+18"
"85",7,"Kaleb Johnson",PIT,"RB29","5","4 out of 5 stars","-9"
"86",7,"Mark Andrews",BAL,"TE9","7","3 out of 5 stars","-11"
"87",7,"Emeka Egbuka",TB,"WR39","9","3 out of 5 stars","+14"
"88",7,"Travis Etienne Jr.",JAC,"RB30","8","2 out of 5 stars","+7"
"89",7,"Khalil Shakir",BUF,"WR40","7","3 out of 5 stars","+8"
"90",7,"Brock Purdy",SF,"QB11","14","4 out of 5 stars","+6"
"91",8,"Jordan Addison",MIN,"WR41","6","2 out of 5 stars","-2"
"92",8,"Jauan Jennings",SF,"WR42","14","4 out of 5 stars","+7"
"93",8,"Justin Fields",NYJ,"QB12","9","5 out of 5 stars","+14"
"94",8,"Deebo Samuel Sr.",WAS,"WR43","12","3 out of 5 stars","-14"
"95",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+14"
"96",8,"Josh Downs",IND,"WR44","11","4 out of 5 stars","+24"
"97",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+21"
"98",8,"Michael Pittman Jr.",IND,"WR45","11","4 out of 5 stars","+18"
"99",8,"Chris Godwin Jr.",TB,"WR46","9","3 out of 5 stars","-9"
"100",8,"Zach Charbonnet",SEA,"RB31","8","3 out of 5 stars","+15"
"101",8,"Drake Maye",NE,"QB15","14","5 out of 5 stars","+24"
"102",8,"Jared Goff",DET,"QB16","8","2 out of 5 stars","-4"
"103",8,"Joe Mixon",HOU,"RB32","6","2 out of 5 stars","-29"
"104",8,"Javonte Williams",DAL,"RB33","10","2 out of 5 stars","+2"
"105",8,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars","-19"
"106",8,"Jordan Mason",MIN,"RB34","6","3 out of 5 stars","-2"
"107",8,"Tucker Kraft",GB,"TE10","5","2 out of 5 stars","+4"
"108",8,"Tyler Warren",IND,"TE11","11","3 out of 5 stars","-14"
"109",8,"Jayden Reed",GB,"WR48","5","2 out of 5 stars","+5"
"110",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+28"
"111",8,"Matthew Golden",GB,"WR49","5","2 out of 5 stars","-18"
"112",8,"Jake Ferguson",DAL,"TE12","10","2 out of 5 stars","+25"
"113",8,"J.K. Dobbins",DEN,"RB35","12","2 out of 5 stars","-8"
"114",8,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+43"
"115",8,"Rhamondre Stevenson",NE,"RB36","14","4 out of 5 stars","-5"
"116",8,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+6"
"117",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+25"
"118",8,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","+3"
"119",9,"Austin Ekeler",WAS,"RB37","12","2 out of 5 stars","+12"
"120",9,"Darnell Mooney",ATL,"WR50","5","3 out of 5 stars","+19"
"121",9,"Tank Bigsby",JAC,"RB38","8","2 out of 5 stars","+14"
"122",9,"Cam Skattebo",NYG,"RB39","14","3 out of 5 stars","-22"
"123",9,"Tyjae Spears",TEN,"RB40","10","2 out of 5 stars","+18"
"124",9,"Jacory Croskey-Merritt",WAS,"RB41","12","2 out of 5 stars","+22"
"125",9,"Rachaad White",TB,"RB42","9","3 out of 5 stars","+15"
"126",9,"Keon Coleman",BUF,"WR51","7","3 out of 5 stars","-7"
"127",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+3"
"128",9,"Quinshon Judkins",CLE,"RB43","9","4 out of 5 stars","-37"
"129",9,"Rashid Shaheed",NO,"WR52","11","4 out of 5 stars","+18"
"130",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-18"
"131",9,"Brandon Aiyuk",SF,"WR53","14","4 out of 5 stars","-2"
"132",9,"Christian Kirk",HOU,"WR54","6","4 out of 5 stars","+16"
"133",9,"Najee Harris",LAC,"RB44","12","2 out of 5 stars","-10"
"134",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+35"
"135",9,"Bryce Young",CAR,"QB22","14","3 out of 5 stars","+41"
"136",9,"Braelon Allen",NYJ,"RB45","9","5 out of 5 stars","+16"
"137",9,"Michael Penix Jr.",ATL,"QB23","5","4 out of 5 stars","+40"
"138",9,"Brian Robinson Jr.",SF,"RB46","14","3 out of 5 stars","-50"
"139",9,"Luther Burden III",CHI,"WR55","5","2 out of 5 stars","+28"
"140",9,"Cedric Tillman",CLE,"WR56","9","2 out of 5 stars","+51"
"141",9,"Ray Davis",BUF,"RB47","7","4 out of 5 stars","+30"
"142",9,"Hunter Henry",NE,"TE16","14","3 out of 5 stars","+23"
"143",9,"Trey Benson",ARI,"RB48","8","3 out of 5 stars","+15"
"144",9,"Rashod Bateman",BAL,"WR57","7","3 out of 5 stars","+26"
"145",9,"Marvin Mims Jr.",DEN,"WR58","12","3 out of 5 stars","+6"
"146",9,"Jaydon Blue",DAL,"RB49","10","2 out of 5 stars","-10"
"147",9,"Kyle Pitts Sr.",ATL,"TE17","5","3 out of 5 stars","-20"
"148",9,"Matthew Stafford",LAR,"QB24","8","3 out of 5 stars","+33"
"149",9,"Tyler Allgeier",ATL,"RB50","5","4 out of 5 stars","+14"
"150",9,"Jerome Ford",CLE,"RB51","9","4 out of 5 stars","+14"
"151",9,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+38"
"152",9,"Jonnu Smith",PIT,"TE18","5","3 out of 5 stars","-18"
"153",10,"Wan'Dale Robinson",NYG,"WR59","14","2 out of 5 stars","+32"
"154",10,"Jayden Higgins",HOU,"WR60","6","4 out of 5 stars","-9"
"155",10,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","-2"
"156",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-53"
"157",10,"Marquise Brown",KC,"WR61","10","3 out of 5 stars","+5"
"158",10,"Keenan Allen",LAC,"WR62","12","3 out of 5 stars","-8"
"159",10,"Romeo Doubs",GB,"WR63","5","2 out of 5 stars","+52"
"160",10,"Bhayshul Tuten",JAC,"RB52","8","2 out of 5 stars","-4"
"161",10,"Nick Chubb",HOU,"RB53","6","2 out of 5 stars","-12"
"162",10,"Rico Dowdle",CAR,"RB54","14","3 out of 5 stars","+42"
"163",10,"DeMario Douglas",NE,"WR64","14","3 out of 5 stars","+51"
"164",10,"Dylan Sampson",CLE,"RB55","9","4 out of 5 stars","+41"
"165",10,"Adam Thielen",CAR,"WR65","14","4 out of 5 stars","+7"
"166",10,"Cam Ward",TEN,"QB26","10","2 out of 5 stars","+8"
"167",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","+66"
"168",10,"Isaac Guerendo",SF,"RB56","14","3 out of 5 stars","-13"
"169",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-56"
"170",10,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","+36"
"171",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-45"
"172",10,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+18"
"173",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-56"
"174",10,"Tre' Harris",LAC,"WR67","12","3 out of 5 stars","+45"
"175",10,"Joshua Palmer",BUF,"WR68","7","3 out of 5 stars","+59"
"176",10,"Xavier Legette",CAR,"WR69","14","4 out of 5 stars","+2"
